Match,Odd1_unibet,Odd2_unibet,Odd1_toto,Odd2_toto,Arbitrage1,Arbitrage2
Djokovic | Rune,1.3,3.5,1.31,3.6,1.0470085470085468,1.0490730643402397
Alcaraz | Paul,1.25,3.95,1.26,4.0,1.05,1.0468153506128188
Fernandez & Shibahara | Siniakova & Townsend,13.0,1.03,10.5,1.03,1.0477968633308439,1.0661118816458623
Dabrowski & Routliffe | Kostyuk & Ruse,1.53,2.35,1.54,2.43,1.065117404986686,1.0748825642442663
Christie & Johnson | Gonzalez & Olmos,3.05,1.36,3.0,1.38,1.0525065336184367,1.0686274509803921
Bucsa & Martin | Dart & Glasspool,2.25,1.62,2.34,1.56,1.0854700854700854,1.0446343779677112
Kichenok & Pavic | Melichar-Martinez & Peers,1.62,2.25,1.62,2.27,1.0578125849785174,1.0617283950617282
Eikeri & Gonzalez | Mattek-Sands & Rojer,2.25,1.62,2.26,1.62,1.0617283950617282,1.0597618267234785
Barrientos & Kato | Murray & Townsend,2.5,1.5,2.65,1.46,1.084931506849315,1.0440251572327044
Ebden & Perez | Molteni & Muhammad,1.22,4.1,1.24,4.0,1.069672131147541,1.0503540519276162
Gille & Kichenok | Salisbury & Watson,2.37,1.57,2.33,1.58,1.0548523206751055,1.066127224515459
Ipunesso | Osafune,8.5,1.06,6.25,1.06,1.0610432852386236,1.1033962264150943
Sim | Ziegann,1.18,4.5,1.14,4.5,1.0696798493408664,1.0994152046783627
Starodubtseva | Zavatska,1.52,2.5,1.5,2.54,1.05159552424368,1.0666666666666667
Bulgaru | Paquet,2.43,1.54,2.36,1.57,1.0484653089040916,1.0730794629099714
Korpatsch | Seidel,1.82,1.96,1.81,1.98,1.0545010545010545,1.062690269477957
Carle | Masarova,2.0,1.79,2.11,1.71,1.0847953216374269,1.0325928671661946
Erjavec | Townsend,2.23,1.64,2.16,1.68,1.043668588511638,1.0727190605239385
Ciric-Bagaric | Jakupovic,1.28,3.7,1.29,3.5,1.0669642857142856,1.0454640687198826
Martynov | Smith,2.45,1.5,2.34,1.51,1.0704149209352616,1.0940170940170941
